q,truth,lpbound,pairs,triples,lb,atoms,attrs,t_lp,t_p,t_tr,t_lb,t_t,terr
stats.106,569476.0,31529323479.91204,17566976328.0,25548513.22797824,76917.0,4.0,5.0,0.1384410858154297,0.4058880805969238,1.3741674423217771,0.2579874992370605,0.0821521282196044,
stats.107,537352263.0,1731330988.257666,930971033.9999976,537352263.0000006,56474.0,4.0,5.0,0.0429518222808837,0.0332698822021484,0.4204690456390381,0.0316841602325439,6.613909959793091,
stats.108,593169291.0,1799049315.4970376,1003828368.0000015,596251187.9999987,57616.0,4.0,5.0,0.1065008640289306,0.255702257156372,1.0783674716949463,0.1762642860412597,7.730164766311645,
stats.109,978405.0,77452797.20679502,43804541.43593176,4160863.9999999977,80974.0,5.0,6.0,0.1540403366088867,0.0971124172210693,2.9103801250457764,0.0444438457489013,0.0532624721527099,
stats.110,1104151.0,79026988.29641421,47379076.53773287,4679935.999999998,88799.0,5.0,6.0,0.1346845626831054,0.0849921703338623,2.9902188777923584,0.0433650016784668,0.0535361766815185,
stats.111,1957551.0,87468180.48660679,57566121.49602808,8566816.000000004,105053.0,5.0,6.0,0.1430976390838623,0.0892527103424072,3.1485159397125244,0.0422933101654052,0.1043207645416259,
stats.112,1839326.0,88341444.84334405,53508542.91314987,7533983.999999996,102512.0,5.0,6.0,0.1355953216552734,0.0861461162567138,3.167318344116211,0.0448324680328369,0.0734410285949707,
stats.113,18382871.0,98871161243.73528,95530822396.6576,603106077.7639551,175101.0,4.0,5.0,0.0814247131347656,0.2625997066497803,1.6341793537139893,0.2222824096679687,0.1642711162567138,
stats.114,19424781.0,18635907972.232937,18559471083.207302,436267174.62003696,123320.0,4.0,5.0,0.0640077590942382,0.1440215110778808,1.1978676319122314,0.1253025531768798,0.1539106369018554,
stats.115,43927632.0,95225759431.1896,92002664843.9418,1205798592.0000014,221187.0,4.0,5.0,0.0850887298583984,0.2624821662902832,1.6737041473388672,0.2260847091674804,0.2123129367828369,
stats.116,986987.0,9103576106.089851,3949992383.999993,22489008.0,30947.0,4.0,5.0,0.065157413482666,0.1877031326293945,1.188770771026611,0.1577417850494384,0.0390565395355224,
stats.117,354388.0,2024962.283210436,977122.9999999997,645019.9999999994,156177.0,4.0,6.0,0.1410670280456543,0.1072363853454589,1.2334740161895752,0.0424733161926269,0.0406298637390136,
stats.118,554302.0,2560089.963751727,1288522.0000000007,759808.9999999995,207442.0,4.0,6.0,0.1344192028045654,0.0863611698150634,1.273606538772583,0.0428035259246826,0.0539705753326416,
stats.119,1936953.0,1134194623.9120278,307600728.0000005,51456191.999999925,308896.0,4.0,5.0,0.0524566173553466,0.073970079421997,0.8086450099945068,0.0811202526092529,0.0687925815582275,
stats.120,11637523617.0,18123686798.73788,17744767510.35099,12317095803.999971,17607690.0,4.0,5.0,0.0841188430786132,0.2202670574188232,1.5627374649047852,0.2158656120300293,55.23047637939453,
stats.121,1116000.0,178247146.18499598,127165298.89881292,22178910.00000002,256939.0,4.0,5.0,0.0546836853027343,0.0803897380828857,0.7223753929138184,0.0797622203826904,0.0432250499725341,
stats.122,11206879551.0,16850523686.563429,16030194496.539717,11206879551.000025,18848230.0,4.0,5.0,0.0881712436676025,0.2044966220855713,1.1588168144226074,0.1954658031463623,52.196584939956665,
stats.123,154355934.0,999252687.8845726,591378360.0810633,154355933.99999985,15458931.0,4.0,5.0,0.0737764835357666,0.2039644718170166,1.258070945739746,0.2005507946014404,0.4902260303497314,
stats.124,6351775.0,7628819057.048294,5446063560.101801,201988391.99999952,81502.0,4.0,5.0,0.1412055492401123,0.4301600456237793,1.80464768409729,0.3317689895629883,0.0573816299438476,
stats.125,56205.0,215921823.58887485,151619553.69974175,3747490.224795261,9635.0,4.0,5.0,0.101395845413208,0.2594857215881347,1.1715970039367676,0.1648802757263183,0.0379495620727539,
stats.126,3136348028.0,7646500021.772566,5451512154.088178,3136348027.999997,219584.0,4.0,5.0,0.1249411106109619,0.4579081535339355,1.8363196849823,0.3169386386871338,19.964510679244995,
stats.127,490921.0,48950940.225738354,27361747.319347803,2806303.999999992,24507.0,5.0,6.0,0.1413383483886718,0.0734400749206543,1.6431779861450195,0.0409779548645019,0.0254311561584472,
