q,atoms,attrs,lpbound,t_lp,pairs,t_p,lb,t_lb,truth,t_t,terr
jobrange.272,3,4,84497382.38108096,2.309314250946045,64151116.99999999,0.9378881454467773,2624572,0.6196765899658203,12059021.0,0.12260866165161133,
jobrange.273,3,4,886650.8531516206,2.2905948162078857,7037.999999999994,0.7959170341491699,301,0.4552643299102783,5971.0,0.03973531723022461,
jobrange.274,3,4,2641157.366159685,1.028136968612671,461404.7559225704,0.5523688793182373,52554,0.3806030750274658,59795.0,0.05541229248046875,
jobrange.275,3,4,59149637.86265724,2.131601333618164,43010844.033100456,0.8428442478179932,1295093,0.530245304107666,2835865.0,0.09300088882446289,
jobrange.276,3,4,578727.4325549555,7.6447248458862305,35241.75304474938,1.0809953212738037,2199,0.708298921585083,2199.0,0.04765605926513672,
jobrange.277,3,4,50167858.90104734,0.6800048351287842,10324201.107013624,0.18113994598388672,56885,0.1561422348022461,439275.0,0.1324608325958252,
jobrange.278,3,4,511960.6006882549,7.264757871627808,28838.428472128107,1.0852768421173096,1086,0.7296047210693359,1086.0,0.043415069580078125,
jobrange.279,3,4,2187.6428421582,1.2449867725372314,55.000000000000014,0.5291435718536377,27,0.7889022827148438,27.0,0.0757453441619873,
jobrange.280,3,4,2012.39302287473,0.21047496795654297,71.00000000000001,0.03756356239318848,25,0.07225680351257324,25.0,0.11861944198608398,
jobrange.281,3,4,36943.03921586669,0.6851897239685059,1192.9999999999995,0.10407495498657227,534,0.14379334449768066,534.0,0.12804079055786133,
jobrange.282,3,4,81207.58716975048,2.8515255451202393,1328.0000000000007,0.5244011878967285,46,0.31436896324157715,46.0,0.040070533752441406,
jobrange.283,3,4,16788648.22569887,1.44305419921875,91700.0,0.4340653419494629,409,0.27374839782714844,1975.0,0.06532144546508789,
jobrange.284,3,4,3678.0358383456373,0.8838739395141602,30.000000000000004,0.17599129676818848,6,0.12435722351074219,6.0,0.09244489669799805,
jobrange.285,3,4,189710012.54796013,2.0709280967712402,22471694.122685615,0.38205885887145996,114530,0.3021125793457031,639129.0,0.12703561782836914,
jobrange.286,3,4,15201.116173682647,0.9506962299346924,80.99999999999997,0.20256972312927246,4,0.13698887825012207,4.0,0.08631634712219238,
jobrange.287,3,4,1505.7406774245908,0.6698033809661865,18.999999999999996,0.14365935325622559,4,0.1100454330444336,4.0,0.08521747589111328,
jobrange.288,3,4,1357.296026610511,0.33922648429870605,4.999999999999999,0.008882522583007812,5,0.0037431716918945312,5.0,0.07855963706970215,
jobrange.289,3,4,105886125.45729455,2.1383183002471924,26222461.000000007,0.5733211040496826,3069863,0.5868065357208252,18093311.0,0.2290787696838379,
jobrange.290,3,4,26057.852283910423,7.738097906112671,2152.9999999999995,1.118535041809082,590,0.7889461517333984,590.0,0.03848099708557129,
jobrange.291,3,4,14443.43519434669,7.648742914199829,225.00000000000006,1.0855433940887451,122,0.714630126953125,122.0,0.03861284255981445,
jobrange.292,3,4,170963.2630136983,7.765486478805542,26158.999999999996,1.103266716003418,6339,0.7637577056884766,6339.0,0.04986262321472168,
jobrange.293,3,4,7557.769394527685,1.9333910942077637,308.0000000000001,0.25160646438598633,23,0.18948888778686523,23.0,0.12195515632629395,
jobrange.294,3,4,9728.362921411464,2.7058494091033936,520.0,0.5291941165924072,77,0.3186182975769043,77.0,0.04534316062927246,
jobrange.295,3,4,96740.77837260287,0.7754645347595215,258.0,0.17100811004638672,4,0.12879228591918945,4.0,0.1213846206665039,
jobrange.296,3,4,35914.560863248764,0.5138974189758301,1039.0,0.08439397811889648,14,0.06934642791748047,14.0,0.0852515697479248,
